speaker,transcript,readability,word_count,paraphrase
Donald Trump,"And the pre-existing conditions, and all the other things, we're with 100 percent. And we have a lot of plans passed, and we're taking the remnants of Obamacare, and working very hard, so the premiums don't go up like they were under him -- you know that used to go up 215 percent, 230 percent. Now the raises of the premiums are very small by comparison.",74.83,66,"I support the pre-existing conditions and all the other things. We have passed several plans and working hard to keep the premiums low, as they were under Obamacare. We are trying to prevent the premiums from increasing like they did under him, which used to go up by 215 percent or 230 percent. Now the increases in premiums are much smaller compared to before."
Donald Trump,"Well, it can have two effects, you can cherish life more because of it or it can have the tendency to cheapen it. And unfortunately, it cheapened a little bit for me because these were three incredible people to die like this, young, attractive, wonderful, in the prime of their careers and they were great guys.",59.98,56,"Well, the experience can have two effects on me. It could make me appreciate life more дела или it can make me think of it as less valuable. Unfortunately, it made me view it as slightly less important because these were three amazing people who died in such a tragic way. They were young, attractive, wonderful, and at the peak of their careers. And they were all great guys."
Donald Trump,"I think the economy is going to clear a lot of things up when people are really getting the jobs they want. But we have a tremendous powerful base, the Republican Party. And they have to know that going out for the midterms is very important. It's almost like going out for the 2020 election that's coming up in the not too distant future.",72.16,64,"I believe that the economy will become much clearer when individuals acquire the jobs they desire. However, we have a very influential party, the Republican Partyuter, and they must understand the significance of participating in the midterms. It's almost as critical as the 2020 election that is approaching soon."
Donald Trump,"Well, I can only tell you that it's such a great question. Long answer, unfortunately, but it's a great question. So when I first got involved, one of the first things I saw was how we were being ripped off by our allies in NATO. I mean, just terribly ripped off. They weren't paying, we were paying probably %, could even be a 100% depending on the way you calculated.",82.85,70,"When I first became involved, I was impressed by the question you asked. Unfortunately, I have a long answer, but it's a great question. Initially, I noticed that our allies in NATO were taking advantage of us by not contributing their fair share. We were paying a significant percentage, potentially even 100%, while they were not paying anything."
Donald Trump,"I used to talk about the greatest market six, seven months ago. We had the greatest market in history. And I was sailing. I mean, we were going, we were going very good, Hugh. It was really looking good, and then we got hit by the plague. And now, people are respecting the way we've handled that. But I think more importantly, they're respecting the jobs numbers and the economy.",78.25,70,"I remember talking about the greatest market a few months ago. At that time, we had the best market in history. Things were going well and we were making progress. However, we were hit by a plague, and it affected us negatively. But I think the way we handled it and the strong jobs numbers and economy are what people are respecting now."
Donald Trump,"I think my inclination is to put -- for instance, Eric loves the club business. We've really built a big club business, and it's been doing well. We're on the cover of a major club magazine, that we're the most profitable one in the business now, and it's great. And we've done really well with it, and I like the business, it works for my personality. And Eric seems to love that business. And Don loves running buildings. He loves 40 Wall Street, he loves Trump Tower, he loves other buildings that we have.",83.36,94,"I have a natural inclination towards the club business and have been successful in building a large club business which is currently doing well. We have been featured on the cover of a major club magazine as the most profitable club in the business and I enjoy working in this industry. My partner, Eric, also shares the same passion for the club business. Meanwhile, Donald enjoys managing and running buildings, specifically 40 Wall Street and Trump Tower."
Donald Trump,"I mean, he was a strong guy, but he was a good man, very good human being, very good person. And he always had confidence in me. So -- and in our family. I mean we have -- we just had confidence and I had really, really good parents -- such an advantage in life. You see so much with the single families and the children growing up without a mother or a father or whatever it may be. It's a very tough situation for people – very, very tough situation for people.",73.37,93,"I have always believed that my father was a strong and good person. He was a good man and a good human being, and he always had confidence in me and in our family. Growing up with both parents was such an advantage for me and my siblings, as it is not easy for children who grow up in single-parent families or other difficult situations. It can be a very challenging and tough experience for them."
Donald Trump,"Nobody's done for the Black community what I've done with criminal justice reform, prison reform. President Obama could never get it passed, could never get it through. I don't know if he tried, but he couldn't get it through. Bush could never get it through. I don't think they tried. Everybody wanted criminal justice reform.",79.06,55,"I have been the one to make significant changes to the criminal justice system and prison reform, which has been beneficial for the Black community. I am proud to say that I have successfully passed these reforms, where others such as President Obama and Bush were unable to do so. I believe they did not try or were unable to get it passed. However, I have been able to get it done and it has been a priority for me to improve the criminal justice system for all communities."
Donald Trump,"I'm going to bring the country together far better than they're going to do, far better than they're going to do. You look at a guy like Ted Cruz, he's a nasty guy. He can't even -- he doesn't have one Republican endorsement from the Senate and he works with the Senate.",79.6,52,"I plan on uniting the country more effectively than others have or will do. For example, Ted Cruz is a divisive figure who has not gained any support from Republican senators despite working with them."
Donald Trump,"I think so. I really do. I think, uh, it's going to happen. And so many people have called me up over the last couple of weeks, because we've been doing so well. We had the big victory in New York, far beyond anybody's expectation. I mean we had -- it was a blowout. And then last night, as you know, it was a total blowout -- five -- five states that everybody -- every one of them was beyond expectation.",85.69,81,"I believe so. I really do think it will happen. Many people have contacted me recently because we have been doing so well. We had a significant victory in New York, which was much greater than expected. And last night, we won five states, each of which surpassed our expectations."
Donald Trump,"And you say, well, how does that happen where you were pro and not long ago, by the way, and then all of a sudden you can't even have exceptions. So that's an unusual stance and I think people will look at that and they will look at lots of other things including what happened in hospitals and what he was working on and a lot of things I hear, I just don't actually get it. But I give credit, but I don't get it.",76.59,85,"I am curious about how a person can switch from being pro to not being able to have exceptions. Not long ago, they were skilled in their views, but now they are unable to have exceptions. This is an unusual stance, and I believe people will question it. They will consider other factors, such as what this person was working on in hospitals and what they have been doing lately. While I give them credit for their previous work, I do not understand their current position."
Donald Trump,"I know when I'm in good shape or not. And I will tell you, I took this Regeneron. It's phenomenal. And Eli Lilly has something very comparable. It's phenomenal. And it's a whole new day. It's a whole -- and if you go back a few months, nobody ever even thought about this stuff. We came up with it. And I'm going to have it delivered to every hospital where you have sick people with the COVID, or the China virus, as we call it.",84.68,85,"I can tell when I'm in good shape or not. I recently took Regeneron and it was amazing. Eli Lilly also has a similar medication that is just as impressive. It's a whole new approach and not too long ago, no one was even considering this kind of treatment. But we have developed it and I plan on having it distributed to all hospitals where patients are being treated for COVID-19."
Donald Trump,"I've never had a person boo me, and all of a sudden people are booing me. She said, that's never happened before. And, it's politics. You know, all of a sudden they think I'm going to be running for office, and I'm a Republican, let's say. So it's something that I had never experienced before and I said, 'Those people are booing,' and she said, 'Yup.' They'd never booed before. But now they boo. You know, it was a group and another group was going the opposite.",77.33,87,"I have never experienced anyone booing me before, and☆ all of a sudden☆ people are booing me. She said it's because of politics. They think I might be running for office and I'm a Republican, so they are booing me. This is something I've never experienced before. I was like, ""Those people are booing,"" and she said, ""Yes, they're booing now."" It's crazy because it's something that has never happened to me before, and now it's happening. It was a group of people, and then another group was going in the opposite direction."
Donald Trump,"So, the nursing home problem, that's your ground zero. It really is ground zero. We first heard about it, I did, in Washington when so many people – the state of Washington where so many people died in a single nursing home. And you realized immediately there's a vulnerability there. What we're doing is legislation immediately as to how many people can be in, some people made some terrible mistakes.",57.47,70,"I first learned about the nursing home problem in Washington, where a large number of people had died in a single nursing home. It was clear to me that there was a vulnerability in this situation, and I immediately began working on legislation to address it. Some people had made mistakes, and I wanted to ensure that we could prevent such tragedies from happening again in the future."
Donald Trump,"You know, I don't talk about the military. I'm not like Obama where they talk about in four months we're waiting, we're going to hit Mosul, and in the meantime, they get ready and like you never, so look, they're still fighting. Mosul is supposed to last for week, and now, they have been fighting it for many months and so many more people died.",83.29,65,"You know, I don't like to talk about my experiences in the military. Unlike some other people, I don't think it's necessary to announce our plans in advance. For example, I remember when President Obama said that we would be able to take Mosul within four months, but it ended up taking much longer than that. And even now, the fighting is still ongoing, with many more casualties than we had anticipated. It's unfortunate that things don't always go as planned in war."
Donald Trump,"Okay. In her heyday, I never thought she was a 10. And I think Carmen is somebody who has unbelievable photogenic abilities. She really looks unbelievable in a picture. And then when you see her first of all she's unbelievably short. And I'm a little bit surprised. I think that the boob job is terrible. You know, they look like two lightbulbs coming out of a body.",78.65,67,"In my opinion, I never considered her to be a 10 during her prime. However, I am impressed by Carmen's incredible photogenic qualities. She has the ability to look stunning in photographs. Despite her short stature, which I found surprising, I believe that the breast implants she received are unflattering and resemble two lightbulbs protruding from her body."
Donald Trump,"Well, I'd start off by saying the man must be brilliant, because you pay off the national debt. These folks are going to love it, because they haven't made their $10 million yet. [Laughter] And, to be honest, the rich folks are going to like it, because we get rid of the inheritance tax, which is 55 percent, which is a total catastrophe, it really is.",74.53,66,"I would say that the man must be brilliant because he can pay off the national debt. Everyone will be pleased with this, especially those who haven't made their $10 million yet. Additionally, the wealthy individuals will be glad because we can get rid of the inheritance tax, which is 55 percent, which is a total disaster."
Donald Trump,There's never been so many people coming up and that's because they're gaming the system and the system is changed for the worse because of what happened with Democrats and what they've done in terms of Congress. So if we change the laws it would be very easy. But in the meantime Mexico if they stop the people from coming in. We won't to have a lot of people coming at the border.,86.74,73,"I believe that there has been a surge in the number of people approaching me and my team because they are taking advantage of the current system. The system has been negatively impacted due to the actions of Democrats in Congress, and if we were to change the laws, it would be relatively simple to do so. However, in the meantime, I think it would be beneficial for Mexico to prevent people from entering the country. This would reduce the number of people trying to cross the border into the United States."
Donald Trump,"I have not seen a report. You know, I have, I built, I think the thing that I -- look obviously people know I've been very successful but I built a truly great company with truly great assets and very little debt, and I don't think that's been recognized to the extent it should. And I don't care about it so much anymore because this is -- you know, I'm here.",73.51,71,"I haven't seen the report. To be honest, I haven't paid much attention to it because I've been too busy building a successful company. I'm proud of what I've accomplished, and I think it's worth noting that I was able to do it with very little debt. I don't worry too much about recognition anymore because I'm content with where I am now."
Donald Trump,"Yes, I'd take -- see, I can -- I know Robin for a long time, and I really like Robin. I consider her a very serious person. And we have to be very serious today. I don't know. Am I supposed to make her laugh or not make her laugh? But we have to be very serious today because we want to make you look like a serious person.",85.49,69,"I have known Robin for a while and I value her as a serious individual. Today, we need to be serious as we aim to present you as a serious person. I am unsure whether I should try to make her laugh or not, but let's maintain a serious tone today."
Donald Trump,"I mean, you're going to have gasoline that's going to be at $5 and $6 a gallon very, very soon. So I mean, I really think that's why I'm doing well in the polls, not because of birther -- and really, I agree, I have a big name ID, but I don't think that's the reason I'm necessarily doing as well as I am in the polls.",71.82,67,"I believe that the rising cost of gasoline, which will likely reach $5 and $6 a gallon soon, is a significant factor in my popularity in the polls. While I have a strong name recognition, I don't believe that is the sole reason for my success in the polls."
Donald Trump,"It is a huge problem. It's a problem that's very rarely discussed. It's being discussed by you a little bit, and a few other people. But even you don't want to hit it the way you've really liked to hit it.",86.4,41,"I am facing a significant issue. This issue is rarely talked about. Only a few people, including you, are discussing it. Even you are not fully willing to tackle it in the way you would like to."
Donald Trump,"Well, I think that's true, and they say that, from a political standpoint, it's probably a good thing for the election, it's probably a good thing -- but you know to be honest with you, it's a -- to me, it's a dirty word. It's a terrible word. It's a dirty word. I came in, I won one of the greatest elections of all time.",89.28,65,"I believe that the statement is true, and it has been suggested that it could be beneficial for the upcoming election. However, to be honest, the word is something that I don't like. It's a word that I consider to be dirty and terrible. I won a great election in the past."
Donald Trump,"The veterans. We have something where it's accountability. Veterans Accountability Act. We have, where you could be the worst employee in history, you could treat the veterans horribly. You can do whatever you want. They couldn't fire you. They've been trying to get rid of it for 40 years. They've been trying to get in a position where they can do things. I had it passed last week. I just signed it last week. Nobody even talks about it. But you know what? The people know that we're doing these things. The people see the stock market. The people see the jobs report. But it is really unfair, because it's like a witch hunt. It's like a witch hunt. But we take it. We take it. As long as my people understand -- that's why I do interviews with you. You have a tremendous audience. You have people that I love -- the evangelicals. And sometimes, you say the evangelical Christians. But I do a lot of interviews with people, because I can get the word out. Because I'm treated very unfairly by the press. And it is what it is.",89.14,191,"I have a policy in place called the Veterans Accountability Act, which ensures that even the worst employees can't be fired if they treat veterans poorly. This policy has been around for 40 years and has been difficult to change. However, I was able to get it passed last week and signed into law. Despite its significance, it doesn't seem to be getting much attention from the public or the media. But I believe that the people are aware of the positive changes we are making through the stock market and jobs report. It can be frustrating when the media portrays it as a ""witch hunt,"" but I understand that it comes with the territory. That's why I do interviews with different groups, including evangelical Christians, to get my message out there and ensure that my people understand."
Donald Trump,"And so I put tariffs on China. And now China, frankly, is ordering more from Iowa than they've ever ordered in the history of our country, corn, soy beans, yeah, beef. They've never ordered anything like it, Rachel. So I think that nobody's even come close. But I got the farmers $28 billion, 28 billion, with a B, and that's why the farmers are doing well.",83.46,66,"I enforced tariffs on China and as a result, they are now purchasing more goods from Iowa than ever before, specifically corn, soy beans, and beef. This is the first time China has made such large orders, and I am proud to have helped the farmers by providing them with $28 billion in aid, which has contributed to their current success."
Donald Trump,Well look I mean her attacks on her daughter. Her daughter and her supposedly didn't speak for years. The daughter didn't have any chemistry on the show. Her daughter and Martha were fighting over the same man. I mean give me a break.,88.13,43,"I am not a fan of the way this person speaks about her daughter. There have been reports that they didn't talk for years, and the daughter didn't seem to have much chemistry on the show. Furthermore, there was allegedly tension between her daughter and Martha over a man. To be honest, it all seems pretty ridiculous to me."
Donald Trump,"And I also wanted to know why isn't Germany and why isn't France and U.K. and all of these European countries, why aren't they giving? Why is it always the United States that's giving? And they're certainly, it's much more important to them because they're essentially a wall between them and Russia. That's like a big wall.",76.82,57,"I was curious about why Germany, France, the UK, and other European countries were not contributing as much to global efforts as the United States. I wanted to know why the US always seemed to be the one providing aid and support, while these other countries had more at stake in terms of their own security."
Donald Trump,"Because he's doing a story. I think he's great. I may call you back and [indiscernible]. I think he's a great professional. Does that make sense to you? You know, I told you, I respect -- in your profession, there's few people I respect more when they're good and honorable and honest and all of that, but anyway. No, but I didn't know what self -- nobody knew what self-deporting was.",86.81,71,I want to share my thoughts on someone who's working on a story. I have a lot of respect for him as a professional. I may call you back to discuss further. I think he's great at his work and has integrity.
Donald Trump,"And then, I understand recently she said well opposition research. Opposition research is very standard. So, it's very interesting, she denied it, her own people denied it. Everybody denied it and now they're sort of scooting around trying to figure out what to say.",60.31,44,"Recently, I learned that opposition research is a standard practice. It's intriguing that some people denied it, including the person in question and her own team, and now they are trying to figure out what to say."
Donald Trump,"I think packing the Court's a horrible thing and all you have to do is go back to Justice Ginsburg. She said, ""This is a collegial group of people and we sit and we talk and you can't do that with large numbers."" And when you get large numbers, you know, you already have the Senate, you already have the House, I mean, you know, where does it stop?",81.97,69,"I believe that packing the Court would be a terrible idea. As Justice Ginsburg once said, ""This is a collegial group of people, and we sit and talk. You can't do that with large numbers."" When there are large numbers of people involved, it becomes difficult to have productive discussions and make informed decisions. Already, the Senate and the House of Representatives have large numbers of members, so it's important to consider where the limits should be when adding more members to another institution."
Donald Trump,"It's very tough in terms of libel laws, because the media is so protected, and it's ridiculous that they're so protected, but they can write virtually anything. The difference is with me, at least, they pay some price, and I think more people should have that attitude, and I think you'd find a lot more accurate reporting, including yours.",58.45,59,"I believe that the laws protecting the media from libel accusations are too strict and often abused. Journalists can write whatever they want without much consequence, whereas individuals who speak out against false reporting face significant consequences. However, I believe that more people should take a stand against false reporting, including journalists, and it would lead to more accurate reporting."
Donald Trump,"Maybe more. Okay. They probably did. If they report 80, that means more. And we have the greatest fighters in the world. But when you're 19 years, you're really becoming like a police force. So we have pulled it back. We're actually negotiating with various people. But we want to get out. We want to get out of a lot of areas that we're in. We shouldn't be there.",89.04,69,"I have confidence in the fighting ability of our forces, but I recognize that being involved in multiple conflicts can be challenging for young soldiers who are still learning the ropes. We are in the process of negotiating with various parties to try to withdraw from some of these areas, as I believe we should not be present in certain locations."
Donald Trump,"I kid Tom, but he's a friend of mine. I think he's a great character. I got to know him when he was a judge at a jitterbug contest I entered after the Patriots won the Super Bowl. He's a winner, and by that I mean every time he needs to make the pass he makes it. You have other guys in the NFL and in life who have all the equipment but don't make the pass. I think Tom's a great guy, and I think he and Ivanka would make a great combination.",89.38,94,"I kid around with Tom, but I consider him to be my friend. I think he's a really interesting person. We became friends when he was a judge at a jitterbug contest that I participated in after the Patriots won the Super Bowl. He's a winner in my book because he always makes the pass when he needs to. There are plenty of other people in the NFL and in life who have all the equipment, but they don't always make the pass. I think Tom is a great guy, and I think he and Ivanka would make a great team."
Donald Trump,"Because they figure you're going to war if John Bolton was there. He wanted to go to war with everybody. He never saw a war he didn't like. He made a tremendous mistake. You know, he and the people that he was pushing, when he went into the Middle East, when he went into Iraq That was a terrible mistake.",84.68,60,"I believe that John Bolton's presence would have led to war with many nations, as he had a tendency to favor military action. His view was that every conflict was worth pursuing, which I believe was an incorrect assessment. The conflict in the Middle East, specifically in Iraq, was a significant mistake, and it was further fueled by those who shared Bolton's perspective."
Donald Trump,"China should have stopped it. They could've stopped it easily. They should've stopped it and they didn't do that, and we'll have that out. That'll be a point of discussion very soon, but, uh, we're really starting to do well. I think we're very close to a vaccine. The vaccine is going to happen. The, uh, therapeutics are happening already.",88.13,60,"I believe that China could have prevented the situation, and it was within their power to do so. However, they did not take the necessary actions, and this is something that we will address in the near future. Despite this, I am optimistic about the development of a vaccine as we are making significant progress in this area. Additionally, therapeutics are already being developed."
Donald Trump,"And maybe, I don't know, almost more importantly, that strongly favor -- this is a number people don't see very often, but 40 percent strongly favor. That means they're really committed. That means they're enthusiastic. We have tremendous, record-setting enthusiasm on our side. And they have record-setting lack of enthusiasm.",61.53,50,"I think that the fact that 40% of people strongly favor us is a significant indicator of their commitment and enthusiasm. This is a high number that not many people see often, and it reflects the strong support we have on our side. On the other hand, the fact that the opposing side has a record-setting lack of enthusiasm is also noteworthy."
Donald Trump,"But we have really done, we have done, I would say eight months in eight years, to be specific. But we have done a really, really good job with the military. We're building up our military. We just had an over $700 billion budget, which will be approved.",84.68,48,"In the past eight years, I believe we have made significant progress in terms of our military. We have invested a lot of effort and resources into improving our military capabilities. Recently, we proposed a budget of over $700 billion for the military, which is expected to be approved."
Donald Trump,"Nancy Pelosi ought to be focused on that as opposed to focus on this most ridiculous thing I've seen, impeachment, which has gone way, way down in the numbers now that people understand it, way, way down, and especially in swing states and with independents, way down.",40.69,47,"As for Nancy Pelosi, she should prioritize that over her focus on the impeachment issue, which has become increasingly unpopular and is now viewed unfavorably by many people, particularly in swing states and among independents."
Donald Trump,"Well, he is being very naive about China. China, right now, we lose $500 billion. After I signed the deal, there won't be anything like that. China, just, during the Obama years in particular, just took advantage of our country so badly. A very, very big competition, China and, I've stopped it. And I am stopping it. You know, during the course of two and a half years, we've gone up $17 trillion in value.",85.99,75,"I believe that China has been taking advantage of our country for a long time, especially during the Obama years. They have been causing us to lose a significant amount of money, around $500 billion. However, since I signed the deal, things have changed. I have stopped China from taking advantage of us, and our country's value has increased by $17 trillion in just two and a half years."
Donald Trump,"Well, we're working that out right now. They're both very talented people. I won't be involved in my business at all, even though I have a legal right to be under the laws, as you know, because the president has a certain doctrine that he can do things.",80.62,48,"As of now, we are figuring out the details. Both individuals are very talented in their own right. Although I have the legal right to be involved in my business, as per the laws, I have decided not to do so because the president has a certain approach that allows him to take such actions."
Donald Trump,"Well, it matters to me. I think it's much more united. If you look back at the Obama administration, there was tremendous -- there was tremendous division, tremendous, and today we had, as you know, we had an overwhelming vote on the most ridiculous thing I've ever been involved with, this whole impeachment thing, is nonsense.",69.82,56,"I believe that it is important to me. I think that having a more united approach is better. When I look back at the Obama administration, there was a lot of division, and today we had a vote on the impeachment issue, which I think is ridiculous."
Donald Trump,"He's -- I just spoke to him. You have -- a lot of people have done a terrific job, but this is something we've never seen before. So I think we're reaching a level of where it's going to start coming down, where it's going to start sloping down. The good thing is that the number of beds needed, I think we were right about that.",89.08,66,"I recently had a conversation with him and I was informed that a lot of people have done an exceptional job, but this situation is unprecedented. It seems like we are approaching a point where the number of cases and deaths will start to decline. I believe we were correct in predicting the number of beds that would be needed."
Donald Trump,"That's the ultimate wall. And they should be helping much more, and instead, it's the United States always the sucker. So, it's one of those things but we help them and we will help them, and I like the new President, and I very much liked and respected that. Last night, he issued a very, very powerful statement that should have ended this witch hunt.",88.77,65,"I believe that the United States is always being taken advantage of, and I think it's unfair. The other countries should be helping us more, but instead, we end up being the ones who get taken advantage of. I still think it's important to help other countries, and I like the new President. I think he made a very strong statement last night that should have ended this situation."
Donald Trump,"It was amazing. Very quickly, it's fine. You look at what we did in Minneapolis. Take a look at Minneapolis. As soon as the guard came in, it was fine. They should've called it two weeks earlier, that was the only thing. So, we have to wait for their call. As soon as they call it, we fix the situation very easily.",88.94,62,"I was impressed by how quickly the situation was resolved. We looked at what we did in Minneapolis and it was clear that we could handle the situation with ease. If only the guard had called us two weeks earlier, everything would have been fine. Now we have to wait for their call before we can fix the situation."
Donald Trump,"Well, look, I'm very pro-choice. I hate the concept of abortion. I hate it. I hate everything it stands for. I cringe when I listen to people debating the subject. But you still -- I just believe in choice. And, again, it may be a little bit of a New York background, because there is some different attitude in different parts of the country. And, you know, I was raised in New York, and grew up and work and everything else in New York City. But I am strongly for choice and, yet, I hate the concept of abortion.",85.79,99,"I strongly believe in the right to choose, even though I greatly dislike the idea of abortion. The thought of it makes me uneasy when I hear people discussing it. I think it's because of my upbringing and the environment I grew up in, which is different from other parts of the country. I was raised and have lived most of my life in New York City, where there's a different attitude towards these things. Despite my personal feelings towards abortion, I still believe that people should have the right to make their own choices."
Donald Trump,"Well, I mean, honestly, over the last two years, a lot of the states have developed tremendous surpluses, and, you know, they're developing very much, and you're rated almost at the bottom of the pack for economic development, and we have to change that. I just opened up the big LNG plant. You know that -- a big, a $10 billion plant, and despite all of that, and we're approving other ones, and other things on the federal basis.",70.47,79,"Over the past two years, many states have accumulated significant surpluses, while my state's economic development ranking is relatively low. To address this, I recently opened a $10 billion LNG plant, and I am also approving other projects on a federal level."
Donald Trump,"So he admits to $4 trillion. This country is gonna have a great year next year if I'm elected. Stocks are going up. The biggest headwind on stocks. You know, the stocks are just about at a record. The biggest headwind is the possibility he could get elected. You will have a crash. You will have a depression like you've never seen before in this country.",88.43,66,"I believe the speaker is confident that the country will have a prosperous year if they are elected, and they anticipate the stock market to perform well. The speaker also suggests that the possibility of their election could cause a significant decline in the stock market and potentially lead to a depression."
Donald Trump,"How did this whole investigation start? Because I think it's corrupt as hell, and I think what's happened between Comey, and McCabe, and Brennan, and all of these people, and Strzok, and his lover Lisa Page -- there's tremendous things that people want to find out, and they really want to find it out, and I hope they're going to.",66.91,60,"I am curious about how the investigation began because I believe it is corrupt to its core. I think the actions of Comey, McCabe, Brennan, and others, including Strzok and his lover Lisa Page, warrant further investigation. Many people are interested in learning more about these matters and I hope they will be able to do so."
Donald Trump,"And they asked me a very tough question, now I can reveal it. We had a meeting, twenty eight countries, we had a meeting and one of the countries, important country, said, ""Well, are you saying that if we don't pay, you're not going to defend us?"" Now, I had to say, ""The answer to that is yes,"" because I said, ""Why should we be doing this?",82.68,67,"During a meeting with representatives from twenty-eight countries, one of the attendees asked a challenging question that I can now disclose. The question was, ""Are you suggesting that if we don't pay, you won't protect us?"" I had to answer honestly and say, ""Yes, that is exactly what I am saying. Why should we be putting ourselves at risk to defend those who are not willing to contribute to our collective defense?"""
Donald Trump,"I would say to China, fellows and I wouldn't do it at a state dinner, I would say, fellows you better get over here because we're going to institute a tax on all of your products coming into this country of 25% and you're going to pay the tax. And by the way, if you don't pay the tax that's okay because we'll end up making the products in this country and you're going to stop manipulating your currency because it's impossible for our companies to compete with China. I mean I have contractors coming in and they are crying the blues all the time because the currency manipulation and China makes it impossible to compete. By the way if you want to do business in China it's very, very hard.",55.1,131,"I would tell China that they need to come to the negotiating table because we're going to impose a 25% tax on all of their products entering the country. And if they don't pay the tax, that's okay because we'll just make the products here and stop their currency manipulation, which is making it impossible for our companies to compete. It's tough for our contractors to do business in China due to these unfair trade practices. And by the way, if they want to do business in the US, it's not going to be easy."
