speaker,transcript
Joey Tribbiani,What?
Joey Tribbiani,"Come on, they're close."
Joey Tribbiani,"Oh, like you've never gotten a little rambunctious with Ross."
Joey Tribbiani,"Well, who's to say what's true? I mean..."
Joey Tribbiani,"All right, look, I'm not proud of this, ok? Well, maybe I am a little."
Joey Tribbiani,Ow!
Joey Tribbiani,"Wait, wait, wait. You want him, I want her. He likes you."
Joey Tribbiani,"Yeah. I'm thinking, if we put our heads together, between the two of us, we can break them up."
Joey Tribbiani,"Uh, waiter, one more plate of chicken wings over here."
Joey Tribbiani,Excellent.
Joey Tribbiani,"Vell, Eva, ve've done some excellent vork here, and I vould have to say, your pwoblem is qviiite clear."
Joey Tribbiani,"All you want is a dingle, What you envy's a schwang, A thing through which you can tinkle, Or play with, or simply let hang..."
Joey Tribbiani,Whadja think?
Joey Tribbiani,"C'mon, you guys, it wasn't that bad. It was better than that thing I did with the trolls, at least you got to see my head."
Joey Tribbiani,"The Estelle Leonard Talent Agency. Wow, an agency left me its card! Maybe they wanna sign me!"
Joey Tribbiani,Who's Rick?
Joey Tribbiani,I couldn't do it.
Joey Tribbiani,"When I'm with a woman, I need to know that I'm going out with more people than she is."
Joey Tribbiani,"Uh huh.. uh huh... oh my God! Okay! Okay, I'll be there! That was my agent. My agent has just gotten me a job...in the new Al Pacino movie!"
Joey Tribbiani,"Can you believe this? Al Pacino! This guy's the reason I became an actor! ""I'm out of order? Pfeeeh. You're out of order! This whole courtroom's out of order!"""
Joey Tribbiani,"""Just when I thought I was out, they pull me back in!"""
Joey Tribbiani,...I'm his
Joey Tribbiani,"...I'm his butt double. 'Kay? I play Al Pacino's butt. Alright? He goes into the shower, and then- I'm his butt."
Joey Tribbiani,"C'mon, you guys. This is a real movie, and Al Pacino's in it, and that's big!"
Joey Tribbiani,"Okay, okay, fine! Make jokes, I don't care! This is a big break for me!"
Joey Tribbiani,Here. I need to borrow some moisturizer.
Joey Tribbiani,Whaddya think? Today's the big day!
Joey Tribbiani,Thank you!
Joey Tribbiani,"Uh, listen, I just wanna thank you for this great opportunity."
Joey Tribbiani,Me?
Joey Tribbiani,Right. Okay. Losing the robe. And the robe is lost.
Joey Tribbiani,"Well, I'm- I'm showering."
Joey Tribbiani,"Oh. Well, the way I see it, the guy's upset here, y'know? I mean, his wife's dead, his brother's missing... I think his butt would be angry here."
Joey Tribbiani,I was going for quiet desperation. But if you have to ask...
Joey Tribbiani,Nope.
Joey Tribbiani,I got fired.
Joey Tribbiani,"Yeah, they said I acted too much with it. I told everybody about this! Now everybody's gonna go to the theatre, expecting to see me, and..."
Joey Tribbiani,My mom will.
Joey Tribbiani,"Y'know, I've done nothing but crappy plays for six years. And I finally get my shot, and I blow it!"
Joey Tribbiani,"Hard to tell, I was naked."
Joey Tribbiani,Yeah? That's so nice!
Joey Tribbiani,Hi everyone.
Joey Tribbiani,"Well, Chandler's old roomate was Jewish, and these are the only candles we have, so... Happy Chanukah, everyone."
Joey Tribbiani,What's up man?
Joey Tribbiani,"Oh my God! He's trapped in an ATM vestibule with Jill Goodacre! Chandler, listen."
Joey Tribbiani,OK... my weirdest place would have to be... the women's room on the second floor of the New York CIty public library.
Joey Tribbiani,We have a winner!
Joey Tribbiani,It's never gonna happen.
Joey Tribbiani,You and Rachel.
Joey Tribbiani,"Because you waited too long to make your move, and now you're in the friend zone."
Joey Tribbiani,"Ross, you're mayor of the zone."
Joey Tribbiani,"Priesthood! Look Ross, I'm telling you, she has no idea what you're thinking. If you don't ask her out soon you're going to end up stuck in the zone forever."
Joey Tribbiani,"Yeeeeaaaahhh! What's messing you up? The wine? The candles? The moonlight? You've just got to go up to her and say, 'Rachel, I think that...'"
Joey Tribbiani,Are you going to do it?
Joey Tribbiani,Do you want any help?
Joey Tribbiani,"Good luck, man."
Joey Tribbiani,OK.
Joey Tribbiani,"Hey, where are you going?"
Joey Tribbiani,You can't go out there.
Joey Tribbiani,Because of... the reason.
Joey Tribbiani,"I, um, can't tell you."
Joey Tribbiani,"OK, you've got to promise that you'll never, ever tell Ross that I told you."
Joey Tribbiani,He's planning your birthday party.
Joey Tribbiani,You'd better act surprised.
Joey Tribbiani,"Hey, don't look at me. This is Ross's thing."
Joey Tribbiani,"I'm on top of the world, looking down on creation and the only explanation I can find, is the wonders I've found ever since..."
Joey Tribbiani,"Sorry, that was wax."
Joey Tribbiani,Bwah-hah-hah!
Joey Tribbiani,"Hey Ross. This probably isn't the best time to bring it up, but you have to throw a party for Monica."
Joey Tribbiani,Not me.
Joey Tribbiani,Twice?
Joey Tribbiani,You guys okay?
Joey Tribbiani,"Now, see, I don't believe any of that. I think once you're dead, you're dead! You're gone! You're worm food! ...So Chandler looks gay, huh?"
Joey Tribbiani,Morning. We ready to go?
Joey Tribbiani,What?
Joey Tribbiani,"Check it out, Giants-Cowboys."
Joey Tribbiani,"No, it's the pre-game. I'm gonna watch it at the reception."
Joey Tribbiani,"Just a, uh... hearing disability."
Joey Tribbiani,Seventeen-fourteen Giants... three minutes to go in the third.
Joey Tribbiani,"Ooh, look-look-look-look-look! I got Monica naked!"
Joey Tribbiani,"Hey, hey."
Joey Tribbiani,"Yes, I am. As of today, I am officially Joey Tribbiani, actor slash model."
Joey Tribbiani,You know those posters for the city free clinic?
Joey Tribbiani,"No, but I hear lyme disease is open, so..."
Joey Tribbiani,Thanks.
Joey Tribbiani,Yeah.
Joey Tribbiani,We did?
Joey Tribbiani,"Uh, hi. We uh, we used to work together."
Joey Tribbiani,"Yeah, at Macy's. You were the Obsession girl, right? I was the Aramis guy. Aramis? Aramis?"
Joey Tribbiani,I gotta tell you. You're the best in the business.
Joey Tribbiani,"I'm serious. You're amazing. You know when to spritz, when to lay back."
Joey Tribbiani,"Ooh, you smell great tonight. What're you wearing?"
Joey Tribbiani,"Listen, uh, you wanna go get a drink or something?"
Joey Tribbiani,What's wrong?
Joey Tribbiani,Oh. What?
Joey Tribbiani,"Wait, wait, wait!"
Joey Tribbiani,So I guess you all saw it.
Joey Tribbiani,Set another place for Thanksgiving. My entire family thinks I have VD.
Joey Tribbiani,"Chandler, will you just come in already?"
Joey Tribbiani,"Hey, Monica, I got a question. I don't see any tater tots."
Joey Tribbiani,"But my mom always makes them. It's like a tradition. You get a little piece of turkey on your fork, a little cranberry sauce, and a tot! It's bad enough I can't be with my family because of my disease."
Joey Tribbiani,The balloon?
Joey Tribbiani,"Wait, wait, we have a copy of your key."
Joey Tribbiani,That tone will not make me go any faster.
Joey Tribbiani,That one will.
Joey Tribbiani,"Nope, not that one."
Joey Tribbiani,"Hey, I got one keyhole and about a zillion keys. You do the math."
Joey Tribbiani,"Hey, we all had better plans. This was nobody's first choice."
Joey Tribbiani,You call that delicious?
Joey Tribbiani,I've gotta see this. All right Ugly Naked Guy!
Joey Tribbiani,"Oh, I will."
Joey Tribbiani,The bigger half.
Joey Tribbiani,"Ahhhhhh, I didn't get the job."
Joey Tribbiani,"I dunno. Some fat guy's sleeping with the store manager. He's not even jolly, it's all political."
Joey Tribbiani,"Ah, I'm gonna be one of his helpers. It's just such a slap in the face, y'know?"
Joey Tribbiani,"Hey, that guy's going home with more than a note!"
Joey Tribbiani,"Hi. Hi, sorry I'm late."
Joey Tribbiani,"Nice shoes, huh?"
Joey Tribbiani,You know more than one Fun Bobby?
Joey Tribbiani,"Ooh ooh ooh ooh, there's no room for milk!"
Joey Tribbiani,"Uh, four."
Joey Tribbiani,"Yeah, and I met this really hot single mom at the store. What's an elf to do?"
Joey Tribbiani,Sandy! Hi! C'mon in! ...You brought your kids.
Joey Tribbiani,"Wow, that's, uh, dirty."
Joey Tribbiani,"Hey, kids..."
Joey Tribbiani,Hey Fun Bobby! Whoah! Who died?
Joey Tribbiani,"There y'go, kids."
Joey Tribbiani,You seen Sandy?
Joey Tribbiani,Looks like that no date pact thing worked out.
Joey Tribbiani,"Nonono, you can't kiss Ross, that's your brother."
Joey Tribbiani,Alrightalrightalright. There.
Joey Tribbiani,I can't believe you said woowoo. I don't even say woowoo.
Joey Tribbiani,"C'mon, she's your mom!"
Joey Tribbiani,Uhhhh.... I'll just pee in the street.
Joey Tribbiani,Yeah.
Joey Tribbiani,Right. No big deal.
Joey Tribbiani,In Bizarro World!! You broke the code!
Joey Tribbiani,"You don't kiss your friend's mom! Sisters are okay, maybe a hot-lookin' aunt... but not a mom, never a mom!"
Joey Tribbiani,"Yeah, well, you don't have your racket."
Joey Tribbiani,"Yeah, well you didn't call and leave your grip size."
Joey Tribbiani,"Ross, how could you let this happen?"
Joey Tribbiani,You don't think my mom's sexy?
Joey Tribbiani,"I'll have you know that Gloria Tribbiani was a handsome woman in her day, alright? You think it's easy giving birth to seven children?"
Joey Tribbiani,He forgot to leave his grip size!
Joey Tribbiani,So are you gonna tell him?
Joey Tribbiani,"How about 'cause if you don't, his mother might."
Joey Tribbiani,Uhhhh.... he's not even wearing a jockstrap!
Joey Tribbiani,"Uh... y'know, knowledge is a tricky thing."
Joey Tribbiani,"Hey, hey, hey, you're lucky I caught them when I did, or else who knows what woulda happened."
Joey Tribbiani,"Me neither, y'know what-"
Joey Tribbiani,What are you mad at me for?!
Joey Tribbiani,"Chandler, I didn't kiss her, he did! See what happens when you break the code?"
Joey Tribbiani,Ah! Huh?
Joey Tribbiani,"Now, here's a picture of my mother and father on their wedding day. Now you tell me she's not a knockout."
Joey Tribbiani,"C'mon! Just try to picture her not pregnant, that's all."
Joey Tribbiani,Mother-Kisser... I'll shut up.
Joey Tribbiani,"Shh. He did it. He told her off, and not just about the kiss, about everything."
Joey Tribbiani,"No, no. He said ""When are you gonna grow up and start being a mom?"""
Joey Tribbiani,"Then she came back with ""The question is, when are you gonna grow up and realise I have a bomb?"""
Joey Tribbiani,That makes more sense.
Joey Tribbiani,"I dunno, I've been standing here spelling it out for you! I don't hear anything. Oh, wait, wait, wait."
Joey Tribbiani,"Hard to tell, they're so tiny and upside-down. Wait, wait. They're walking away... they're walking away... No, no they're not, they're coming right at us! Run! Run!"
Joey Tribbiani,You usually find them on the 'heaving beasts'.
Joey Tribbiani,"Ross, did you really read all these baby books?"
Joey Tribbiani,"Hey Ross, listen, you know that right now, your baby's only this big? This is your baby. Hi Daddy!"
Joey Tribbiani,How come you don't live with Mommy? How come Mommy lives with that other lady? What's a lesbian?
Joey Tribbiani,"I love babies, with their little baby shoes, and their little baby toes, and their little baby hands..."
Joey Tribbiani,Need a new table.
Joey Tribbiani,That's the rule.
Joey Tribbiani,How'd you get to that?
Joey Tribbiani,You knew about that?
Joey Tribbiani,"Ok, ok, How about if we split it?"
Joey Tribbiani,Yeah
Joey Tribbiani,Why not?
Joey Tribbiani,"Why, are you moving out?"
Joey Tribbiani,You'd tell me if you were moving out right
Joey Tribbiani,"Aw, I know all about Kip!"
Joey Tribbiani,"Well, let me ask you something, was Kip a better roommate than me?"
Joey Tribbiani,So what's it gonna be?
Joey Tribbiani,Or an uncle...
Joey Tribbiani,"Hey, Chandler, that table place closes at 7, come on."
Joey Tribbiani,"Whoa, store will be open tomorrow!"
Joey Tribbiani,Feminist issue. That's where I went!
Joey Tribbiani,"Will you pick one, just pick one! Here, how about that one?"
Joey Tribbiani,"So what, like people are gonna come in and think, ""Uh-oh, I'm outside again?"" Of course!"
Joey Tribbiani,"I don't know, birds just don't say, ""Hello, sit here, eat something."""
Joey Tribbiani,"All right, how about the ladybugs?"
Joey Tribbiani,"Fine, you want to get the birds, get the birds!"
Joey Tribbiani,"Who cares, we'll eat at the sink! Come on, let's play!"
Joey Tribbiani,"No-no, she kicked our butts. You could be on the Olympic standing-there team."
Joey Tribbiani,"Yes, now is when you swoop! You gotta make sure that when Paolo walks out of there, the first guy Rachel sees is you, She's gotta know that you're everything he's not! You're like, like the anti-Paolo!"
Joey Tribbiani,Wha-
Joey Tribbiani,Hey!
Joey Tribbiani,"Uh, it's 2:30 in the morning!"
Joey Tribbiani,Oh yeah!
Joey Tribbiani,"Hey you guys. Hey, you all know my dad, right?"
Joey Tribbiani,"Dad, dad."
Joey Tribbiani,"Hey Ma. Listen, I made the appointment with Dr. Bazida, and... Excuse me? Did you know this isn't Ma?"
Joey Tribbiani,Sure. So how long you been...
Joey Tribbiani,Since then?!
Joey Tribbiani,...I d'know.
Joey Tribbiani,You're one to talk.
Joey Tribbiani,Oh man. Please tell me one of 'em is Ma.
Joey Tribbiani,"It's like if you woke up one day and found out your dad was leading this double life. He's like actually some spy, working for the C.I.A. That'd be cool.... This blows!"
Joey Tribbiani,What's the matter with Rog?
Joey Tribbiani,"Night, you guys."
Joey Tribbiani,"Hey. Can, uh, can we help you?"
Joey Tribbiani,I'm Joey Tribbiani.
Joey Tribbiani,"Dad, Ronni's here."
Joey Tribbiani,Who-ah-ho.
Joey Tribbiani,No you won't.
Joey Tribbiani,If you go to a hotel you'll be...doing stuff. I want you right here where I can keep an eye on you.
Joey Tribbiani,"That's right, mister, and I don't care how old you are, as long as you're under my roof you're gonna live by my rules. And that means no sleeping with your girlfriend."
Joey Tribbiani,"Now dad, you'll be in my room, Ronni uh, you can stay in Chandler's room."
Joey Tribbiani,"Okay. Now this is just for tonight. Starting tomorrow, you gotta make a change. This has gone on long enough."
Joey Tribbiani,"Well, either you break it off with Ronni"
Joey Tribbiani,Then you gotta come clean with Ma! This is not right!
Joey Tribbiani,I don't wanna hear it! Now go to my room!
Joey Tribbiani,Just trying to get comfortable. I can't sleep in my underwear.
Joey Tribbiani,"I've been thinking. Y'know, about how I'm always seeing girls on top of girls..."
Joey Tribbiani,"Y'know what I mean, about how I'm always going out with all these women. And I always figured, when the right one comes along, I'd be able to be a stand-up guy and go the distance, y'know? Now I'm looking at my dad, thinking..."
Joey Tribbiani,No.
Joey Tribbiani,You really think so?
Joey Tribbiani,"Thanks, Chandler."
Joey Tribbiani,What's the matter with you?!
Joey Tribbiani,Ma! What're you doing here?
Joey Tribbiani,Oww! Big ring!
Joey Tribbiani,"Hold on, you-you knew?"
Joey Tribbiani,"So then how could you I mean, how could you?!"
Joey Tribbiani,"Ma, I don't mean to be disrespectful, but... what the hell are you talking about?! I mean, what about you?"
Joey Tribbiani,I'm...happy...for you?
Joey Tribbiani,"Ma, I'm sorry. I just did what I thought you'd want."
Joey Tribbiani,Yeah. You're ten times prettier than she is.
Joey Tribbiani,With this ring? No contest.
Joey Tribbiani,"Yeah. He's gonna keep cheating on my ma like she wanted, she's gonna keep pretending she doesn't know even though she does, and my little sister Tina can't see her husband any more because he got a restraining order...which has nothing to do with anything except that I found out today."
Joey Tribbiani,"Yeah, I guess. It's just parents, after a certain point, you gotta let go. Even if you know better, you've gotta let them make their own mistakes."
Joey Tribbiani,Clear the tracks for the boobie payback express. Next stop: Rachel Green.
Joey Tribbiani,Sorry. Wrong boobies.
Joey Tribbiani,"I'm tellin' you Ross, she wants you."
Joey Tribbiani,You're in!
Joey Tribbiani,"Excuse me, could we get an egg over here, still in the shell? Thanks."
Joey Tribbiani,"Yeah, you're gonna go up to her and say, ""Here's your egg back, I'm returning your egg."""
Joey Tribbiani,Think it'll work?
Joey Tribbiani,"Actually, tomorrow night kinda depends on how tonight goes."
Joey Tribbiani,"No, no, no, don't you dare bail on me. The only reason she's goin' out with me is because I said I could bring a friend for her friend."
Joey Tribbiani,"Pathetic mess? I know, butcome on, man, she's needy, she's vulnerable. I'm thinkin', cha-ching! Thanks. Look, you have not been out with a woman since Janice. You're doin' this."
Joey Tribbiani,How do I look?
Joey Tribbiani,"No, no, no, don't! I've been waitin' for like, forever to go out with Lorraine. Just calm down."
Joey Tribbiani,"Can you stop yellin'? You're makin' me nervous, and I can't go when I'm nervous."
Joey Tribbiani,"Good for you. Uh, quarters or rolls of quarters?"
Joey Tribbiani,We can't do that.
Joey Tribbiani,"Uh, can I talk to you for a second, over there?"
Joey Tribbiani,"Uh, we might be leaving now."
Joey Tribbiani,"She said she wants to slather my body with stuff and then lick it off. I'm not even sure what slathering is, but I definitely want to be a part of it."
Joey Tribbiani,"You're right, I'm sorry. You're right."
Joey Tribbiani,"I'm outta here. Here's my credit card. Dinner's on me. I'm sorry, Chandler."
Joey Tribbiani,Whoa.
Joey Tribbiani,I don't know. You dumped her on New Year's.
Joey Tribbiani,"If you don't do it, I will."
Joey Tribbiani,Thank you.
Joey Tribbiani,So what're you going to do?
Joey Tribbiani,"How about Tony's? If you can finish a 32-ounce steak, it's free."
Joey Tribbiani,"So.... back to your place...you thinking, maybe... huh-huh?"
Joey Tribbiani,"I'm telling you, that monkey is a chick magnet! She's going to take one look at his furry, cute little face and it'll seal the deal."
Joey Tribbiani,Mmmm. Good.
Joey Tribbiani,It's creamier.
Joey Tribbiani,"I don't know. We're talking about whipped fish, Monica. I'm just happy I'm keeping it down, y'know?"
Joey Tribbiani,Uh-oh.
Joey Tribbiani,Vulva?
Joey Tribbiani,Whoaa!! You cuddled? How many times??
Joey Tribbiani,What's the big deal? You just say what you want to do to her. Or what you want her to do to you. Or what you think other people might be doing to each other. I'll tell you what. Just try something on me.
Joey Tribbiani,"Why not? Come on! Just, just close your eyes and tell me what you'd like to be doing right now."
Joey Tribbiani,....yeah... what else?
Joey Tribbiani,"Alright, look, I'll start, OK?"
Joey Tribbiani,"Come on. Come on. Alright, ready, look! Oh... Ross.... you get me so hot. I want your lips on me now."
Joey Tribbiani,"Alright, now you say something."
Joey Tribbiani,"Come on! You like this woman, right?"
Joey Tribbiani,"You want to see her again, right?"
Joey Tribbiani,"Well if you can't talk dirty to me, how're you going to talk dirty to her? Now tell me you want to caress my butt!"
Joey Tribbiani,"Alright, alright. I'm around. Go ahead."
Joey Tribbiani,There you go! Keep going. Keep going!
Joey Tribbiani,Say it... say it!
Joey Tribbiani,You're not going to believe this!
Joey Tribbiani,"Hey Chandler, while you were sleeping that guy from your old job called again."
Joey Tribbiani,"And again, and again, and again... Hello? And again."
Joey Tribbiani,What a tool!
Joey Tribbiani,"So, er... how did it go with Celia?"
Joey Tribbiani,"All right, Ross!"
Joey Tribbiani,Whoa! And the... huh-huh?
Joey Tribbiani,You cuddled.
Joey Tribbiani,"Yeah, where the hell is he?"
Joey Tribbiani,"Theres the waitress. Excuse me, Miss. Hello, Miss?"
Joey Tribbiani,"No, no... how come you are working here?"
Joey Tribbiani,Im sayin I see a difference.
Joey Tribbiani,I dont care. Phoebes Phoebe. Ursulas... hot!
Joey Tribbiani,Yeah.
Joey Tribbiani,"Hey Pheebs, guess who we saw today."
Joey Tribbiani,Nope.
Joey Tribbiani,Nope.
Joey Tribbiani,Not from where I was standin.
Joey Tribbiani,"I went back to Riffs. I think Ursula likes me. All I ordered was coffee, she brought me a tuna meltt and four plates of curly fries."
Joey Tribbiani,She is so hot!
Joey Tribbiani,Pheebs?
Joey Tribbiani,You think it would be okay if I asked out your sister?
Joey Tribbiani,"So that if we went out on a date, shed be there."
Joey Tribbiani,"Cool, thanks."
Joey Tribbiani,Hey.
Joey Tribbiani,"Phoebe, could you do me a favour? Could you try this on? I just wanna make sure it fits."
Joey Tribbiani,"Oh, no no no. Its for Ursula. I just figured, you know, size-wise."
Joey Tribbiani,Yep. Ice Capades.
Joey Tribbiani,"I dont know. I like her, you know. Shes different. Theres uh, somethin about her."
Joey Tribbiani,"Hey, Phoebe, I asked you, and you said it was okay."
Joey Tribbiani,Okay... Well maybe now I'm not okay with it not being okay.
Joey Tribbiani,Out.
Joey Tribbiani,Yes.
Joey Tribbiani,"Well, not that its any of your business, but, no, we havent, okay?"
Joey Tribbiani,"You meant sex, right?"
Joey Tribbiani,Tampa Bay's got a terrible team.
Joey Tribbiani,He should take the sack?
Joey Tribbiani,"Yeah, Ross. You and the baby just need better blocking."
Joey Tribbiani,"Oh, have either one of you guys ever been to the Rainbow Room? Is it real expensive?"
Joey Tribbiani,I'm takin' Ursula tonight. It's her birthday.
Joey Tribbiani,When's that?
Joey Tribbiani,"Oh, man. What're the odds of that happening?"
Joey Tribbiani,"What can I do? Look, I don't want to do anything to screw it up with Ursula."
Joey Tribbiani,"Well, if she's my friend, hopefully she'll understand. I mean, wouldn't you guys?"
Joey Tribbiani,Hey.
Joey Tribbiani,Your sister stood me up the other night.
